Atlantic Water in Eastern Norwegian Sea entering Barents Sea and West Spitzbergen Current,,,,
,,,,
Year,I-129,,,
,at/l x 10 exp7,,,
1957.5,0.4,,,
1958.5,0.3,,,
1959.5,0.3,,,
1960.5,0.7,,,
1961.5,0.6,,,
1962.5,0.6,,,
1963.5,0.8,,,
1964.5,0.9,,,
1965.5,1.6,,,
1966.5,2.4,,,
1967.5,2.5,,,
1968.5,1.8,,,
1969.5,3.7,,,
1970.5,4.4,,,
1971.5,6.0,,,
1972.5,8.0,,,
1973.5,12.4,,,
1974.5,16.5,,,
1975.5,25.4,,,
1976.5,32.9,,,
1977.5,43.9,,,
1978.5,57.9,,,
1979.5,36.8,,,
1980.5,53.2,,,
1981.5,57.3,,,
1982.5,44.2,,,
1983.5,29.5,,,
1984.5,43.6,,,
1985.5,57.3,,,
1986.5,50.4,,,
1987.5,59.2,,,
1988.5,63.7,,,
1989.5,49.1,,,
1990.5,58.4,,,
1991.5,59.2,,,
1992.5,67.0,,,
1993.5,81.5,,,
1994.5,111,,,
1995.5,104,,,
1996.5,143,,,
1997.5,211,,,
1998.5,301,,,
1999.5,326,,,
2000.5,334,,,
2001.5,391,,,
2002.5,417,,,
2003.5,340,,,
2004.5,296,,,
2005.5,319,,,
2006.5,339,,,
2007.5,371,,,
2008.5,347,,,
2009.5,350,,,
2010.5,302,,,
2011.5,224,,,
2012.5,210,,,
2013.5,281,,,
2014.5,271,,,
2015.5,280,,,
